"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3","1","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","C4","1","47n box","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","",""
"4","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"5","D3, D4, D5, D6, D7, D8","6","1N4148","Diode_SMD:D_SOD-323_HandSoldering","","",""
"6","D9","1","Zener 5.1V","Diode_SMD:D_MiniMELF","","",""
"7","D10","1","LED_GREEN","LED_THT:LED_D3.0mm","","",""
"8","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"9","J2, J3, J4","3","AudioJack2_SwitchT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"10","J5, J7, J9","3","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","",""
"11","J6, J8, J10","3","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","",""
"12","Q1, Q2, Q3","3","BCM847","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","Mouser","771-BCM847DS135"
"13","R1, R2, R20","3","10","Resistor_SMD:R_0805_2012Metric","","",""
"14","R3, R9","2","1M","Resistor_SMD:R_0805_2012Metric","","",""
"15","R4","1","1.2M","Resistor_SMD:R_0805_2012Metric","","",""
"16","R5, R6, R12, R14","4","22K","Resistor_SMD:R_0805_2012Metric","","",""
"17","R7","1","220","Resistor_SMD:R_0805_2012Metric","","",""
"18","R8","1","100K","Resistor_SMD:R_0805_2012Metric","","",""
"19","R10","1","10K","Resistor_SMD:R_0805_2012Metric","","",""
"20","R11, R16","2","220K","Resistor_SMD:R_0805_2012Metric","","",""
"21","R13, R18, R19","3","1K","Resistor_SMD:R_0805_2012Metric","","",""
"22","R15","1","4.7K","Resistor_SMD:R_0805_2012Metric","","",""
"23","R17","1","120K","Resistor_SMD:R_0805_2012Metric","","",""
"24","SW1","1","SW_Rotary12","Eurorack:Switch_Rotary_NKK_MRK_112","","Mouser","633-MRK112-BA"
"25","U1","1","4017","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","","Mouser","595-CD4017BPWR"
